id,fecha,resultado,color,modo,mi_rating,rival_rating
KX51W8N5,2026-08-20 20:59:18.195,win,white,blitz,2546,2414
iIUSdqSg,2026-08-20 20:58:01.339,win,white,blitz,2546,1601
8sD4m3DW,2026-08-20 20:53:17.315,win,black,blitz,2546,2026
Dx0zhzki,2026-08-20 20:51:59.032,win,white,blitz,2545,1920
TsIvyzmn,2026-08-20 20:48:09.255,win,black,blitz,2541,2470
FQn7GwnX,2026-08-20 20:16:30.118,win,white,bullet,2982,2134
AJQVMWGG,2026-08-20 20:14:57.317,win,black,bullet,2982,2659
O7FCckBE,2026-08-20 20:13:55.430,win,white,bullet,2982,2067
nD7Y3xv0,2026-08-20 20:12:22.456,win,black,bullet,2982,2426
6CQk1DIX,2026-08-20 20:10:49.761,loss,white,bullet,2982,2788
ZF7OT1Mb,2026-08-20 20:09:17.125,win,black,bullet,2982,2134
8of33PbG,2026-08-20 20:08:15.417,win,white,bullet,2982,1614
WJVz3mfc,2026-08-20 20:06:42.757,win,black,bullet,2982,2409
0jaRUQ6R,2026-08-20 20:05:09.788,loss,white,bullet,2982,2788
IUwdiDFQ,2026-08-20 20:04:08.042,win,black,bullet,2982,1614
YZbmEfKL,2026-08-20 20:02:35.488,loss,black,bullet,2982,2788
yaD0hSBk,2026-08-20 20:02:04.671,win,white,bullet,2982,2630
